x,fdam_mode1,fdam_mode2,fdam_mode3,fdam_mode4,fdam_mode5,fdam_mode6,fdam_mode7,fdam_mode8,fdam_mode9,fdam_mode10
0.372,4.043379952547e+00,2.533940063273e+01,7.095093786398e+01,1.390371063954e+02,2.298343591659e+02,3.433365363461e+02,4.795371217343e+02,6.384282412246e+02,8.200396141538e+02,1.024329962448e+03
0.374,4.043380337054e+00,2.533939578266e+01,7.095095478489e+01,1.390370858908e+02,2.298343070521e+02,3.433367472852e+02,4.795367962317e+02,6.384284063956e+02,8.200400060567e+02,1.024328862553e+03
0.376,4.043380719142e+00,2.533939094685e+01,7.095097198699e+01,1.390370631035e+02,2.298342612162e+02,3.433369528247e+02,4.795364581566e+02,6.384286214037e+02,8.200403191496e+02,1.024327807210e+03
0.378,4.043381098816e+00,2.533938612709e+01,7.095098945144e+01,1.390370380745e+02,2.298342218052e+02,3.433371519867e+02,4.795361097651e+02,6.384288843396e+02,8.200405498629e+02,1.024326811442e+03
0.380,4.043381476076e+00,2.533938132517e+01,7.095100715909e+01,1.390370108490e+02,2.298341889457e+02,3.433373438235e+02,4.795357533817e+02,6.384291928688e+02,8.200406955659e+02,1.024325889423e+03
0.382,4.043381850927e+00,2.533937654286e+01,7.095102509059e+01,1.390369814768e+02,2.298341627435e+02,3.433375274224e+02,4.795353913841e+02,6.384295442517e+02,8.200407545971e+02,1.024325054278e+03
0.384,4.043382223371e+00,2.533937178191e+01,7.095104322633e+01,1.390369500119e+02,2.298341432832e+02,3.433377019100e+02,4.795350261874e+02,6.384299353688e+02,8.200407262827e+02,1.024324317895e+03
0.386,4.043382593411e+00,2.533936704407e+01,7.095106154652e+01,1.390369165125e+02,2.298341306277e+02,3.433378664561e+02,4.795346602278e+02,6.384303627474e+02,8.200406109448e+02,1.024323690756e+03
0.388,4.043382961050e+00,2.533936233106e+01,7.095108003118e+01,1.390368810409e+02,2.298341248185e+02,3.433380202781e+02,4.795342959465e+02,6.384308225934e+02,8.200404098974e+02,1.024323181789e+03
0.390,4.043383326290e+00,2.533935764457e+01,7.095109866017e+01,1.390368436630e+02,2.298341258753e+02,3.433381626443e+02,4.795339357734e+02,6.384313108241e+02,8.200401254316e+02,1.024322798238e+03
0.392,4.043383689135e+00,2.533935298631e+01,7.095111741320e+01,1.390368044490e+02,2.298341337956e+02,3.433382928778e+02,4.795335821110e+02,6.384318231051e+02,8.200397607891e+02,1.024322545564e+03
0.394,4.043384049587e+00,2.533934835793e+01,7.095113626987e+01,1.390367634725e+02,2.298341485555e+02,3.433384103595e+02,4.795332373182e+02,6.384323548886e+02,8.200393201259e+02,1.024322427363e+03
0.396,4.043384407651e+00,2.533934376109e+01,7.095115520968e+01,1.390367208104e+02,2.298341701088e+02,3.433385145309e+02,4.795329036946e+02,6.384329014535e+02,8.200388084644e+02,1.024322445318e+03
0.398,4.043384763329e+00,2.533933919742e+01,7.095117421202e+01,1.390366765434e+02,2.298341983879e+02,3.433386048971e+02,4.795325834653e+02,6.384334579477e+02,8.200382316362e+02,1.024322599173e+03
0.400,4.043385116624e+00,2.533933466853e+01,7.095119325626e+01,1.390366307551e+02,2.298342333038e+02,3.433386810291e+02,4.795322787660e+02,6.384340194308e+02,8.200375962158e+02,1.024322886739e+03
0.402,4.043385467540e+00,2.533933017602e+01,7.095121232171e+01,1.390365835323e+02,2.298342747462e+02,3.433387425657e+02,4.795319916287e+02,6.384345809182e+02,8.200369094458e+02,1.024323303922e+03
0.404,4.043385816081e+00,2.533932572145e+01,7.095123138767e+01,1.390365349646e+02,2.298343225840e+02,3.433387892152e+02,4.795317239685e+02,6.384351374254e+02,8.200361791538e+02,1.024323844783e+03
0.406,4.043386162249e+00,2.533932130637e+01,7.095125043343e+01,1.390364851444e+02,2.298343766657e+02,3.433388207569e+02,4.795314775701e+02,6.384356840120e+02,8.200354136637e+02,1.024324501624e+03
0.408,4.043386506049e+00,2.533931693233e+01,7.095126943832e+01,1.390364341663e+02,2.298344368199e+02,3.433388370424e+02,4.795312540768e+02,6.384362158257e+02,8.200346217008e+02,1.024325265095e+03
0.410,4.043386847484e+00,2.533931260081e+01,7.095128838171e+01,1.390363821277e+02,2.298345028558e+02,3.433388379957e+02,4.795310549788e+02,6.384367281454e+02,8.200338122918e+02,1.024326124328e+03
0.412,4.043387186557e+00,2.533930831332e+01,7.095130724301e+01,1.390363291277e+02,2.298345745638e+02,3.433388236142e+02,4.795308816036e+02,6.384372164229e+02,8.200329946626e+02,1.024327067092e+03
0.414,4.043387523273e+00,2.533930407132e+01,7.095132600175e+01,1.390362752678e+02,2.298346517161e+02,3.433387939683e+02,4.795307351075e+02,6.384376763236e+02,8.200321781326e+02,1.024328079967e+03
0.416,4.043387857635e+00,2.533929987624e+01,7.095134463755e+01,1.390362206508e+02,2.298347340678e+02,3.433387492012e+02,4.795306164670e+02,6.384381037648e+02,8.200313720090e+02,1.024329148536e+03
0.418,4.043388189647e+00,2.533929572951e+01,7.095136313015e+01,1.390361653814e+02,2.298348213571e+02,3.433386895281e+02,4.795305264731e+02,6.384384949519e+02,8.200305854800e+02,1.024330257587e+03
0.420,4.043388519314e+00,2.533929163253e+01,7.095138145945e+01,1.390361095653e+02,2.298349133065e+02,3.433386152356e+02,4.795304657257e+02,6.384388464120e+02,8.200298275108e+02,1.024331391334e+03
0.422,4.043388846638e+00,2.533928758665e+01,7.095139960550e+01,1.390360533098e+02,2.298350096238e+02,3.433385266798e+02,4.795304346297e+02,6.384391550250e+02,8.200291067410e+02,1.024332533638e+03
0.424,4.043389171625e+00,2.533928359324e+01,7.095141754856e+01,1.390359967226e+02,2.298351100026e+02,3.433384242848e+02,4.795304333921e+02,6.384394180511e+02,8.200284313861e+02,1.024333668239e+03
0.426,4.043389494278e+00,2.533927965361e+01,7.095143526906e+01,1.390359399126e+02,2.298352141236e+02,3.433383085408e+02,4.795304620210e+02,6.384396331551e+02,8.200278091441e+02,1.024334778986e+03
0.428,4.043389814601e+00,2.533927576907e+01,7.095145274769e+01,1.390358829889e+02,2.298353216557e+02,3.433381800016e+02,4.795305203250e+02,6.384397984273e+02,8.200272471074e+02,1.024335850068e+03
0.430,4.043390132600e+00,2.533927194088e+01,7.095146996536e+01,1.390358260610e+02,2.298354322566e+02,3.433380392821e+02,4.795306079151e+02,6.384399124002e+02,8.200267516825e+02,1.024336866238e+03
0.432,4.043390448278e+00,2.533926817029e+01,7.095148690325e+01,1.390357692383e+02,2.298355455745e+02,3.433378870553e+02,4.795307242068e+02,6.384399740618e+02,8.200263285164e+02,1.024337813032e+03
0.434,4.043390761639e+00,2.533926445853e+01,7.095150354283e+01,1.390357126305e+02,2.298356612487e+02,3.433377240489e+02,4.795308684244e+02,6.384399828645e+02,8.200259824325e+02,1.024338676972e+03
0.436,4.043391072689e+00,2.533926080679e+01,7.095151986585e+01,1.390356563464e+02,2.298357789110e+02,3.433375510421e+02,4.795310396057e+02,6.384399387295e+02,8.200257173756e+02,1.024339445760e+03
0.438,4.043391381431e+00,2.533925721625e+01,7.095153585440e+01,1.390356004947e+02,2.298358981869e+02,3.433373688619e+02,4.795312366090e+02,6.384398420485e+02,8.200255363670e+02,1.024340108453e+03
